Date,Open,High,Low,Close,Volume
7-Feb-15,273.77,273.78,273.76,273.76,1.5105000000000002
7-Feb-15,273.66,273.91,273.66,273.78,18.382860000000004
7-Feb-15,273.88,273.91,273.66,273.66,53.34643968999999
7-Feb-15,273.94,273.94,273.85,273.88,1.3303000000000003
7-Feb-15,274.18,274.18,273.93,273.93,7.5632701799999955
7-Feb-15,274.02,274.36,274.02,274.19,5.68394
7-Feb-15,274.27,274.28,274.02,274.12,11.003559999999998
7-Feb-15,274.12,274.28,274.12,274.28,2.7122255899999996
7-Feb-15,273.82,274.13,273.82,274.13,1.9537
7-Feb-15,273.39,274.18,273.39,273.83,45.232800000000026
7-Feb-15,273.23,273.39,273.22,273.39,3.888689999999997
7-Feb-15,273.02,273.31,273.02,273.28,4.495299999999999
7-Feb-15,272.38,273,272.38,273,3.9395884799999967
7-Feb-15,272.4,272.4,272.17,272.27,19.549860000000002
7-Feb-15,272.43,272.45,272.4,272.4,8.2792
7-Feb-15,272.55,272.55,272.43,272.43,5.024152319999999
7-Feb-15,273.27,273.28,272.23,272.55,26.39025921000001
7-Feb-15,273.29,273.29,273.26,273.26,7.628639999999999
7-Feb-15,273.99,273.99,273.3,273.3,18.527200000000004
7-Feb-15,274.73,274.73,273.9,273.96,38.041440000000016
7-Feb-15,273.97,274.9,273.96,274.73,70.43109961000003
7-Feb-15,272.51,273.97,272.51,273.96,139.49523180999995
7-Feb-15,272.11,272.51,272.11,272.51,71.89608230000002
7-Feb-15,271.96,272.11,271.95,272.09,37.2884
7-Feb-15,271.87,271.98,271.87,271.96,4.438
7-Feb-15,271.89,271.89,271.87,271.87,31.746190000000002
6-Feb-15,271.5,271.89,271.5,271.88,35.24689596999999
6-Feb-15,271.43,271.5,271.4,271.5,15.307800000000004
6-Feb-15,271.1,271.44,270.95,271.43,38.05110000000005
6-Feb-15,270.97,271.18,270.85,271.14,36.17927012999998
6-Feb-15,270.92,271.17,270.82,271,32.08890000000001
6-Feb-15,270.6,270.92,270.59,270.85,15.706399999999997
6-Feb-15,270.56,270.61,270.56,270.61,19.021999999999995
6-Feb-15,270.58,270.59,270.26,270.44,4.0504999999999995
6-Feb-15,269.86,270.58,269.86,270.58,4.9695
6-Feb-15,269.85,269.86,269.85,269.86,3.9528334499999995
6-Feb-15,269.85,269.86,269.85,269.85,2.4001
6-Feb-15,269.97,270.03,269.74,269.93,9.3898
6-Feb-15,269.97,269.98,269.93,269.97,7.029699999999999
6-Feb-15,270.12,270.6,269.93,269.94,26.05370000000001
6-Feb-15,269.96,270.16,269.91,269.91,9.5818
6-Feb-15,269.8,270.07,269.8,269.95,3.4944
6-Feb-15,269.84,270.38,269.52,269.89,55.048899999999996
6-Feb-15,269.71,270.3,269.69,269.78,13.891000000000002
6-Feb-15,270.12,270.31,269.61,269.91,14.366308020000002
