Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 14:55:00 GMT-0400 (EDT),274.14,275.5,274.14,275.5,109.61462477000012
Mon Jul 06 2015 14:50:00 GMT-0400 (EDT),273.7,274.14,273.68,274.13,25.078366350000003
Mon Jul 06 2015 14:45:00 GMT-0400 (EDT),273.34,273.73,273.1,273.71,25.3878
Mon Jul 06 2015 14:40:00 GMT-0400 (EDT),272.95,273.36,272.95,273.34,27.910719850000003
Mon Jul 06 2015 14:35:00 GMT-0400 (EDT),274.26,274.38,272.23,272.93,116.40690000000012
Mon Jul 06 2015 14:30:00 GMT-0400 (EDT),273.4,274.38,273.19,274.38,11.36168692
Mon Jul 06 2015 14:25:00 GMT-0400 (EDT),273.28,274.39,272.56,274.35,61.77766275999993
Mon Jul 06 2015 14:20:00 GMT-0400 (EDT),273.8,274.35,272.81,274.35,23.065886850000005
Mon Jul 06 2015 14:15:00 GMT-0400 (EDT),273.77,274.48,272.81,273.82,38.77820000000002
Mon Jul 06 2015 14:10:00 GMT-0400 (EDT),272.92,274.5,272.81,273.76,23.44020000000001
Mon Jul 06 2015 14:05:00 GMT-0400 (EDT),273.77,274.65,272.7,274.65,45.590699999999984
Mon Jul 06 2015 14:00:00 GMT-0400 (EDT),274.45,274.5,273.76,273.76,52.98740000000001
Mon Jul 06 2015 13:55:00 GMT-0400 (EDT),273.65,274.99,273.57,273.78,48.770100000000006
Mon Jul 06 2015 13:50:00 GMT-0400 (EDT),274.01,275,273.5,274.8,37.598200000000006
Mon Jul 06 2015 13:45:00 GMT-0400 (EDT),274.86,275.34,273.6,274.13,53.96859999999997
Mon Jul 06 2015 13:40:00 GMT-0400 (EDT),273.52,275,273.51,274.08,18.48040000000001
Mon Jul 06 2015 13:35:00 GMT-0400 (EDT),273.5,275,273.49,273.49,275.89309999999966
Mon Jul 06 2015 13:30:00 GMT-0400 (EDT),273.36,273.5,272.85,273.5,68.74559999999994
Mon Jul 06 2015 13:25:00 GMT-0400 (EDT),272.41,273.35,272.41,273.35,21.908199999999997
Mon Jul 06 2015 13:20:00 GMT-0400 (EDT),272.39,272.79,271.99,272.45,58.44228317
Mon Jul 06 2015 13:15:00 GMT-0400 (EDT),272.39,272.79,272.35,272.39,64.38409999999996
Mon Jul 06 2015 13:10:00 GMT-0400 (EDT),273.47,273.73,272.39,272.39,36.93000000000002
Mon Jul 06 2015 13:05:00 GMT-0400 (EDT),273.61,273.62,273.45,273.46,18.02768
Mon Jul 06 2015 13:00:00 GMT-0400 (EDT),273.69,274,272.99,273.49,102.45522312000001
Mon Jul 06 2015 12:55:00 GMT-0400 (EDT),273.84,273.92,273.66,273.82,25.469099999999997
Mon Jul 06 2015 12:50:00 GMT-0400 (EDT),272.98,274.51,272.98,274.19,100.35400000000004
Mon Jul 06 2015 12:45:00 GMT-0400 (EDT),272.48,273,272.26,272.93,44.62051433000003
Mon Jul 06 2015 12:40:00 GMT-0400 (EDT),272.22,273.5,272.06,272.4,97.19590000000007
Mon Jul 06 2015 12:35:00 GMT-0400 (EDT),271.9,272.24,271.72,272.24,58.93669999999998
Mon Jul 06 2015 12:30:00 GMT-0400 (EDT),274.06,274.06,271.5,271.87,54.69006483999998
Mon Jul 06 2015 12:25:00 GMT-0400 (EDT),272.61,273.9,272.57,273.9,12.027883969999998
Mon Jul 06 2015 12:20:00 GMT-0400 (EDT),273.37,273.42,272.07,272.6,172.9036020099999
Mon Jul 06 2015 12:15:00 GMT-0400 (EDT),276.87,277.14,273.38,273.38,116.06977779000027
Mon Jul 06 2015 12:10:00 GMT-0400 (EDT),277,277.19,276.7,276.98,55.81460232999996
Mon Jul 06 2015 12:05:00 GMT-0400 (EDT),277,277,276.99,276.99,50.58362399999999
Mon Jul 06 2015 12:00:00 GMT-0400 (EDT),276.96,277,276.74,276.99,103.19509223999995
Mon Jul 06 2015 11:55:00 GMT-0400 (EDT),276.99,276.99,276.95,276.96,24.37967
Mon Jul 06 2015 11:50:00 GMT-0400 (EDT),276.99,277,276.98,276.99,14.332559419999999
Mon Jul 06 2015 11:45:00 GMT-0400 (EDT),276.25,277,276.24,276.99,77.10717914999991
Mon Jul 06 2015 11:40:00 GMT-0400 (EDT),275,276.25,275,276.25,199.13327134999992
Mon Jul 06 2015 11:35:00 GMT-0400 (EDT),274.99,275,274.99,274.99,42.50259181
Mon Jul 06 2015 11:30:00 GMT-0400 (EDT),274.99,275,274.87,275,16.0296
Mon Jul 06 2015 11:25:00 GMT-0400 (EDT),274.47,275,274.31,275,103.58200000000012
Mon Jul 06 2015 11:20:00 GMT-0400 (EDT),273.72,274.79,273.7,274.79,100.83240000000004
